age,region,education_level,education_field,occupation_category,starting_income,income_growth_rate,current_savings,savings_rate,debt_level,property_price,price_per_sqm,property_type,property_region,years_to_readiness
22,BE,bachelor,psychology,SocialCare,39074,0.025,3455,0.053,43246,718479,7407,Penthouse,NW,40
29,HE,bachelor,business,Finance,49039,0.064,42247,0.194,33158,270135,3915,Apartment,HH,2
30,BY,master,social_sciences,SocialCare,47345,0.024,62883,0.066,7939,758656,11854,Apartment,HH,30
19,BY,apprenticeship,Logistics,Logistics,30043,0.014,14620,0.113,5946,490268,10658,Loft,HH,40
28,BY,apprenticeship,Retail,Retail,25348,0.023,53319,0.105,47852,556270,10114,Penthouse,BW,40
20,BE,apprenticeship,Logistics,Logistics,31663,0.028,5392,0.149,4446,371448,5544,Loft,HE,14
29,NW,master,business,Finance,49595,0.046,58549,0.196,17574,277750,5050,Loft,BE,0
23,NW,none,none,Sales,38908,0.057,17761,0.066,18514,241735,3719,Apartment,BY,9
20,BE,master,education,Education,51222,0.027,19891,0.08,33279,143088,2981,Loft,BY,3
26,HH,apprenticeship,Retail,Retail,28284,0.029,58299,0.129,29292,300932,6542,Apartment,HE,10
18,HE,apprenticeship,Mechatronics,Mechatronics,41923,0.034,43298,0.086,19469,243600,6960,Loft,NW,2
21,BY,bachelor,economics,Finance,48697,0.047,9016,0.238,48880,691092,8748,Penthouse,HE,13
24,BY,bachelor,engineering,STEM,57156,0.063,19401,0.166,16122,207675,8307,Apartment,NW,3
30,BE,bachelor,psychology,SocialCare,34347,0.025,8743,0.07,14761,579940,5420,Loft,BY,31
21,NW,apprenticeship,Logistics,Logistics,26162,0.016,47111,0.15,10797,645696,5472,Apartment,HH,40
28,BY,bachelor,engineering,STEM,48145,0.074,51042,0.114,20500,481800,4380,Loft,NW,7
26,HE,master,social_sciences,SocialCare,38984,0.024,48854,0.086,28813,481797,7191,Apartment,HE,19
22,NW,none,none,Service,32952,0.022,33478,0.077,3172,448857,8469,Loft,HH,25
21,HH,master,social_sciences,SocialCare,40507,0.028,37312,0.058,44586,517914,7506,Loft,HE,21
30,HH,bachelor,engineering,STEM,55009,0.061,15937,0.239,31923,126945,2821,Maisonette,BY,1
27,BE,master,mathematics,STEM,63223,0.077,55179,0.223,10924,393960,3752,Maisonette,BE,2
26,HE,master,data_science,STEM,82342,0.06,60427,0.183,20667,955395,9099,Penthouse,BE,7
27,HH,master,healthcare,Healthcare,47920,0.022,45184,0.087,9935,116402,4477,Penthouse,BE,0
18,BW,none,none,SkilledTrade,40523,0.034,5412,0.091,37394,481800,4380,Loft,NW,18
29,BE,master,business,Finance,64820,0.066,45405,0.23,35446,842219,10661,Apartment,NW,8
28,BW,none,none,TechSelfTaught,47032,0.046,11519,0.149,28283,888118,11242,Loft,NW,20
24,HH,bachelor,psychology,SocialCare,43417,0.025,33019,0.064,44367,888118,11242,Loft,NW,39
30,BE,none,none,Sales,30804,0.059,40336,0.116,31692,669300,6693,Maisonette,BW,18
21,BY,none,none,Service,31968,0.017,16962,0.078,31789,791896,10024,Loft,NW,40
30,HE,none,none,TechSelfTaught,49877,0.056,48514,0.147,14194,254082,2703,Maisonette,BW,1
18,HE,apprenticeship,Retail,Retail,28006,0.037,8592,0.136,34323,481797,7191,Apartment,HE,22
22,HH,bachelor,psychology,SocialCare,32492,0.028,22764,0.095,10885,371448,5544,Loft,HE,14
23,NW,bachelor,business,Finance,41810,0.053,24168,0.179,1097,265668,5109,Maisonette,HE,4
25,BW,apprenticeship,Logistics,Logistics,29212,0.039,43373,0.089,17357,422170,5705,Penthouse,NW,16
19,HH,bachelor,arts_humanities,Arts,32621,0.017,44509,0.036,26656,595056,6072,Penthouse,BE,40
22,HH,bachelor,business,Finance,46094,0.055,42908,0.129,2181,481800,4380,Loft,NW,8
30,HH,master,business,Finance,61044,0.061,13721,0.17,37588,109260,3642,Penthouse,BW,1
21,BE,apprenticeship,OfficeAdmin,OfficeAdmin,30999,0.03,43870,0.114,17135,393960,3752,Maisonette,BE,16
23,BE,master,education,Education,48932,0.029,29301,0.102,1238,678419,5701,Penthouse,BW,20
21,HE,master,mathematics,STEM,56561,0.057,28938,0.213,9799,627192,6744,Loft,BY,7
24,HE,apprenticeship,SkilledTrade,SkilledTrade,31363,0.03,47446,0.11,30625,409675,11705,Maisonette,NW,17
25,HE,bachelor,social_sciences,SocialCare,34174,0.025,10786,0.054,18898,209715,6355,Penthouse,BW,14
18,HH,master,social_sciences,SocialCare,44220,0.028,3735,0.057,42503,758656,11854,Apartment,HH,35
22,NW,master,computer_science,STEM,56809,0.067,40790,0.222,7289,314691,8069,Penthouse,HH,2
30,BW,apprenticeship,Mechatronics,Mechatronics,35448,0.011,21627,0.126,341,168704,2636,Maisonette,BY,3
23,BY,master,education,Education,48050,0.025,1778,0.069,27402,151713,5619,Apartment,NW,8
24,HH,bachelor,psychology,SocialCare,41965,0.021,42601,0.096,14181,126840,4530,Penthouse,HH,0
26,BY,master,mathematics,STEM,64173,0.052,40189,0.243,32332,1086930,9290,Loft,NW,15
27,NW,master,economics,Finance,53283,0.059,39483,0.232,13050,515160,8586,Loft,BE,5
30,HH,bachelor,education,Education,39047,0.023,724,0.101,22551,338523,5939,Apartment,BW,15
19,HH,bachelor,healthcare,Healthcare,42547,0.021,30583,0.102,14174,791896,10024,Loft,NW,40
25,HH,bachelor,economics,Finance,48040,0.046,5605,0.168,26719,412844,7118,Loft,BY,8
25,BY,apprenticeship,Mechatronics,Mechatronics,42767,0.015,33205,0.136,46909,764286,6477,Loft,BY,40
26,HH,none,none,TechSelfTaught,53616,0.059,46099,0.1,17520,953760,9935,Loft,HE,17
28,HE,apprenticeship,SkilledTrade,SkilledTrade,44435,0.024,22869,0.102,16957,208737,7731,Apartment,BE,4
26,HE,none,none,Sales,33975,0.057,41574,0.097,27103,155204,3374,Maisonette,NW,0
28,BE,bachelor,arts_humanities,Arts,32198,0.014,21408,0.077,46947,300932,6542,Apartment,HE,15
25,BW,bachelor,data_science,STEM,61377,0.077,29352,0.112,44578,1144304,9616,Loft,HH,16
23,BE,bachelor,social_sciences,SocialCare,36418,0.022,17597,0.052,10700,800025,10667,Loft,HE,40
18,HE,apprenticeship,OfficeAdmin,OfficeAdmin,35900,0.022,33991,0.136,8668,758656,11854,Apartment,HH,40
21,BY,apprenticeship,Logistics,Logistics,32121,0.035,8496,0.063,8591,1214868,10473,Loft,HE,40
21,HE,master,engineering,STEM,63817,0.058,50865,0.165,32627,1269216,11232,Apartment,HE,17
19,BY,bachelor,arts_humanities,Arts,36487,0.01,9187,0.075,25997,637767,9243,Apartment,BY,40
26,BY,bachelor,computer_science,STEM,55653,0.067,13276,0.145,8310,481800,4380,Loft,NW,8
19,NW,none,none,SkilledTrade,44594,0.038,15717,0.054,20177,355607,9611,Maisonette,HH,17
24,HH,none,none,SkilledTrade,30665,0.035,40185,0.082,11516,187978,3241,Apartment,BE,0
18,BW,apprenticeship,Mechatronics,Mechatronics,38447,0.02,41781,0.11,43573,286770,8690,Maisonette,BE,4
25,HE,none,none,Service,24191,0.026,7129,0.072,36646,356577,9143,Maisonette,BW,26
22,BY,bachelor,economics,Finance,51637,0.049,44910,0.15,13099,151713,5619,Apartment,NW,0
26,BY,none,none,Service,27716,0.026,56266,0.089,22894,919448,9994,Penthouse,BW,40
30,HH,apprenticeship,OfficeAdmin,OfficeAdmin,32308,0.03,28602,0.068,20948,338240,5285,Apartment,HH,15
21,BW,bachelor,engineering,STEM,49859,0.061,51563,0.195,47862,227556,6321,Penthouse,BY,0
25,NW,apprenticeship,OfficeAdmin,OfficeAdmin,37099,0.037,57507,0.064,39059,109260,3642,Penthouse,BW,0
18,BY,apprenticeship,Logistics,Logistics,29417,0.021,10805,0.101,30735,825945,10455,Apartment,BY,40
26,NW,master,economics,Finance,55271,0.069,58307,0.142,25423,568008,6762,Loft,BW,6
26,BW,apprenticeship,OfficeAdmin,OfficeAdmin,39628,0.011,63598,0.085,19221,126840,4530,Penthouse,HH,0
27,HH,bachelor,engineering,STEM,49090,0.077,3148,0.124,8480,126840,4530,Penthouse,HH,4
26,HE,master,computer_science,STEM,61253,0.053,13862,0.127,13954,536152,4622,Apartment,HE,10
19,NW,apprenticeship,Logistics,Logistics,26836,0.013,27768,0.148,10646,489190,4615,Loft,HH,40
27,NW,master,business,Finance,60434,0.059,44887,0.124,47406,167376,5072,Maisonette,BW,0
20,BY,apprenticeship,Logistics,Logistics,27050,0.014,753,0.066,24147,229026,5586,Penthouse,BY,22
30,BY,master,education,Education,46446,0.025,54963,0.063,45597,229026,5586,Penthouse,BY,0
25,NW,none,none,TechSelfTaught,38239,0.042,57349,0.156,46370,166750,2875,Loft,HH,0
18,BY,master,data_science,STEM,64194,0.076,2573,0.229,24434,550229,11707,Penthouse,BY,6
25,HE,bachelor,business,Finance,44722,0.044,51851,0.142,30451,573459,8311,Loft,HH,11
18,BW,none,none,Sales,48251,0.055,32296,0.05,37651,254082,2703,Maisonette,BW,7
28,NW,none,none,Service,30428,0.029,4171,0.072,47605,318528,9954,Apartment,BE,20
26,NW,bachelor,psychology,SocialCare,38669,0.023,62709,0.053,18850,517914,7506,Loft,HE,23
27,BE,master,education,Education,42544,0.027,36813,0.07,32672,388830,5982,Maisonette,NW,12
22,HE,none,none,SkilledTrade,34604,0.032,21584,0.126,18705,842219,10661,Apartment,NW,36
25,BW,bachelor,education,Education,36560,0.028,50905,0.075,12017,558888,9636,Maisonette,HE,24
22,HE,apprenticeship,Mechatronics,Mechatronics,35277,0.012,21100,0.106,2775,627192,6744,Loft,BY,40
18,BE,master,engineering,STEM,56754,0.062,33608,0.14,10555,678419,5701,Penthouse,BW,10
22,BE,bachelor,healthcare,Healthcare,44447,0.036,15566,0.102,48158,1337427,11431,Maisonette,HE,38
24,HE,none,none,SkilledTrade,35681,0.034,37911,0.117,43957,885278,10666,Maisonette,BE,34
24,BY,master,engineering,STEM,70535,0.056,3777,0.219,24025,489190,4615,Loft,HH,6
18,BY,master,computer_science,STEM,58388,0.07,10929,0.152,44947,191607,4913,Penthouse,HH,3
