age,region,education_level,education_field,occupation_category,starting_income,income_growth_rate,current_savings,savings_rate,debt_level,property_price,price_per_sqm,property_type,property_region,years_to_readiness
37,BY,bachelor,education,Education,54041,0.0377749450460948,4863,0.1055721256003053,23535,273416,5258,Apartment,BY,6.6710556192089765
30,HE,apprenticeship,Logistics,Logistics,22961,0.0256825137083132,12240,0.1246206274652101,24018,883850,8035,Loft,HE,40.0
32,HH,master,mathematics,STEM,51759,0.0634702060023893,18352,0.2589081209028451,15741,843304,5698,Penthouse,BY,14.423471363293464
31,HE,apprenticeship,Retail,Retail,43451,0.0120544398244912,10231,0.0398625131151025,12650,389215,4097,Loft,BW,38.957264765825904
40,BE,master,arts_humanities,Arts,25094,0.0254549772001525,23183,0.0572612438497137,31237,597720,5860,Maisonette,HE,40.0
21,BY,none,none,Service,27674,0.0128160440944109,27241,0.0384181441315545,19889,435064,6398,Loft,NW,40.0
37,BY,bachelor,education,Education,34684,0.0576144042709273,4378,0.1334056222323864,35309,174888,3123,Apartment,NW,5.237982956973864
34,BY,none,none,TechSelfTaught,42784,0.0750964885595478,10976,0.0973791708244103,32708,211500,5875,Apartment,BY,9.769841332423296
20,BW,apprenticeship,SkilledTrade,SkilledTrade,59873,0.0166366916092628,17627,0.0979797553951311,42821,284325,3345,Apartment,BW,7.272940496885007
32,HH,apprenticeship,OfficeAdmin,OfficeAdmin,25683,0.0126543477480376,5753,0.0398213876450443,7734,52500,1500,Apartment,NW,4.462855968508314
38,BW,bachelor,computer_science,STEM,49331,0.032965230265435,38170,0.2642886728088744,31329,447225,5963,Apartment,HE,6.045356826437651
32,NW,apprenticeship,Retail,Retail,29013,0.0706725148890802,28887,0.1915329710461207,38820,289926,3717,Apartment,BW,2.3190690596640766
18,NW,apprenticeship,Logistics,Logistics,27034,0.0109871096704747,18029,0.0159756554660429,22247,205150,4103,Apartment,HH,40.0
37,NW,none,none,Sales,41981,0.0413966890407097,5052,0.1010158264564238,5147,289900,5798,Apartment,BY,12.112499415386193
34,HE,bachelor,arts_humanities,Arts,25379,0.0160404517110871,56821,0.0766066677079895,3,223440,2660,Apartment,NW,9.053891479505072
25,HH,bachelor,economics,Finance,64797,0.0796235884357895,44083,0.2215917189439583,37093,265100,6025,Apartment,BY,0.0
24,BW,bachelor,education,Education,29201,0.0554864871857016,16285,0.1290745315643208,44673,437224,5332,Apartment,BY,9.810040614357836
27,NW,bachelor,business,Finance,40243,0.0271370390129292,17174,0.1627611176630887,42299,175104,2736,Apartment,HE,2.287618907028876
32,HH,master,mathematics,STEM,63748,0.0699437746584322,27070,0.2450394487203596,9670,547391,6929,Apartment,BY,5.835933700551824
24,NW,none,none,TechSelfTaught,65468,0.0729880256649556,40663,0.0407893298702699,31141,128100,3050,Apartment,BW,0.0
25,BE,apprenticeship,Mechatronics,Mechatronics,51600,0.0348257708186506,7222,0.0344155053454013,22312,298220,4810,Apartment,BY,20.864156368697188
18,BW,bachelor,economics,Finance,56314,0.1004358571747954,15413,0.1320402455377897,40197,541956,9508,Apartment,BY,7.903399168703982
25,HE,apprenticeship,Retail,Retail,25252,0.0527204526617826,14227,0.0869529110981085,24619,688834,6794,Apartment,BW,36.054902974727256
38,BE,master,arts_humanities,Arts,29601,0.0171848616303357,8607,0.1174888109263017,5763,249508,5092,Apartment,BY,10.08004170173865
30,BE,apprenticeship,SkilledTrade,SkilledTrade,37834,0.0343198648912407,17221,0.1267555058366356,27862,183964,2486,Apartment,BW,4.606057856008386
23,BW,apprenticeship,Retail,Retail,31625,0.0217818441139675,18912,0.0800329274943609,46162,180006,3158,Apartment,HE,6.833287072956855
30,BE,apprenticeship,Logistics,Logistics,18326,0.0433354016974451,669,0.0314016232486522,31777,206830,2795,Apartment,HE,38.40986009111129
39,NW,master,economics,Finance,37715,0.0716344080380851,2608,0.2245736283168284,31686,308946,4983,Apartment,BE,6.319073285762503
28,BY,bachelor,healthcare,Healthcare,47157,0.0223031817983223,10726,0.1558127919093282,12895,160650,3150,Apartment,BE,0.0
18,HE,bachelor,social_sciences,SocialCare,22379,0.0395437074058655,10022,0.0475440756400509,24225,194496,3039,Apartment,BE,21.00903672449888
26,BE,none,none,Sales,50238,0.04474234917601,4244,0.0350401271529409,30669,177925,3235,Apartment,BY,12.830101558038857
29,BE,bachelor,healthcare,Healthcare,27172,0.0307509665072176,33640,0.0574933564057292,49198,427746,6481,Maisonette,NW,24.053825835340835
38,HH,bachelor,education,Education,38815,0.0242823833401723,17439,0.1198413412094294,15915,155181,3979,Apartment,HE,3.69895335275993
